検査日,2018/11/01
開始時刻,7:56:37,終了時刻,9:00:58
IDNo.,8
製品名,マツオ食品　新名水２００ｇ
コード,710545
検査レベル,普通
材質,表刷り
特徴,
印刷面,
周長,
基準方向,
タイミング,
自動印刷,
ロットNo.,__A
検査幅[mm],1068.5
検査開始位置[mm],132.3,検査終了位置[mm],1200.8
列数,2
周長[mm],540.0,2逓倍,0
検査距離[m],4428.3
照明設定,No.1,ON ,65,No.2,OFF,0,No.3,ON ,28
検査レベル,点比較,色差,15,サイズ[mmsq.],1.30
,面比較,色差,22,サイズ[mmsq.],1.30
,スジ検出,色差,40,サイズ[mmsq.],2.60
印刷面,表刷り
Ref画像更新モード,ﾌﾚｰﾑ毎更新
タイミング設定,見当誤差検出設定 変更
欠点検出数,174
No.,周期内欠点数,X[mm],Y[m],サイズ[mmsq.],ランク,判定,欠点種別,ラベル
1,1,572.9,11.8, 1.1,軽欠点,-,,
2,1,594.2,39.9, 1.1,軽欠点,-,,
3,1,455.6,968.5, 0.9,軽欠点,-,,
4,1,189.0,1417.0, 1.0,軽欠点,-,,
5,1,338.3,1780.0, 1.5,中欠点,-,,
6,1,756.5,2086.9, 0.9,軽欠点,-,,
7,1,487.6,2566.5, 1.2,軽欠点,-,,
8,1,498.2,3557.3, 1.0,軽欠点,-,,
9,5,466.2,3602.3, 8.0,重欠点,-,,
10,5,1300.4,3612.2, 1.8,重欠点,-,,
11,5,916.4,3617.8, 1.0,軽欠点,-,,
12,5,455.6,3993.0, 1.9,重欠点,-,,
13,5,1279.0,3993.4, 5.8,重欠点,-,,
14,5,476.9,3993.7, 1.7,中欠点,-,,
15,5,916.4,3994.1, 2.2,重欠点,-,,
16,5,927.1,3994.5, 4.4,重欠点,-,,
17,5,927.1,3994.9, 4.4,重欠点,-,,
18,5,895.1,3995.3, 5.2,重欠点,-,,
19,5,884.5,3995.7, 5.1,重欠点,-,,
20,5,895.1,3996.1, 4.6,重欠点,-,,
21,5,884.5,3996.5, 6.3,重欠点,-,,
