検査日,2019/03/13
開始時刻,13:42:43,終了時刻,14:05:12
IDNo.,8
製品名,マツオ食品　新名水２００ｇ
コード,710545
検査レベル,普通
材質,表刷り
特徴,
印刷面,
周長,
基準方向,
タイミング,
自動印刷,
ロットNo.,__A
検査幅[mm],874.5
検査開始位置[mm],238.8,検査終了位置[mm],1113.3
列数,2
周長[mm],600.0,2逓倍,0
検査距離[m],4027.9
照明設定,No.1,ON ,55,No.2,OFF,0,No.3,ON ,28
検査レベル,点比較,色差,19,サイズ[mmsq.],1.50
,面比較,色差,26,サイズ[mmsq.],1.50
,スジ検出,色差,45,サイズ[mmsq.],4.00
印刷面,表刷り
Ref画像更新モード,ﾌﾚｰﾑ毎更新
タイミング設定,内部
欠点検出数,95
No.,周期内欠点数,X[mm],Y[m],サイズ[mmsq.],ランク,判定,欠点種別,ラベル
1,5,948.4,43.0, 1.9,中欠点,-,,
2,5,788.5,43.5, 3.4,重欠点,-,,
3,5,788.5,44.1, 4.5,重欠点,-,,
4,5,788.5,44.7, 5.3,重欠点,-,,
5,5,745.8,45.3, 2.7,重欠点,-,,
6,5,348.9,45.9, 4.6,重欠点,-,,
7,5,348.9,46.5, 5.5,重欠点,-,,
8,5,745.8,47.1, 5.1,重欠点,-,,
9,5,327.6,47.8, 2.0,軽欠点,-,,
10,5,306.3,48.3, 2.2,重欠点,-,,
11,5,306.3,48.9, 2.2,重欠点,-,,
12,5,306.3,49.5, 2.2,重欠点,-,,
13,5,327.6,50.2, 1.5,中欠点,-,,
14,5,756.5,50.8, 3.9,重欠点,-,,
15,5,756.5,51.4, 5.0,重欠点,-,,
16,5,756.5,52.0, 6.1,重欠点,-,,
17,5,756.5,52.6, 1.6,中欠点,-,,
18,5,745.8,53.2, 5.4,重欠点,-,,
19,5,745.8,53.8, 4.1,重欠点,-,,
20,5,745.8,54.4, 4.8,重欠点,-,,
21,5,316.9,55.0, 2.1,中欠点,-,,
22,5,745.8,55.6, 2.2,重欠点,-,,
