検査日,2018/09/07
開始時刻,15:04:44,終了時刻,15:25:36
IDNo.,8
製品名,マツオ食品　新名水２００ｇ
コード,710545
検査レベル,普通
材質,表刷り
特徴,
印刷面,
周長,
基準方向,
タイミング,
自動印刷,
ロットNo.,__A
検査幅[mm],828.6
検査開始位置[mm],255.9,検査終了位置[mm],1084.5
列数,2
周長[mm],480.0,2逓倍,0
検査距離[m],4050.6
照明設定,No.1,ON ,60,No.2,OFF,0,No.3,ON ,30
検査レベル,点比較,色差,19,サイズ[mmsq.],1.50
,面比較,色差,26,サイズ[mmsq.],1.50
,スジ検出,色差,45,サイズ[mmsq.],4.00
印刷面,表刷り
Ref画像更新モード,ﾌﾚｰﾑ毎更新
タイミング設定,見当誤差検出設定 変更
欠点検出数,148
No.,周期内欠点数,X[mm],Y[m],サイズ[mmsq.],ランク,判定,欠点種別,ラベル
1,1,852.5, 5.8, 1.7,軽欠点,-,,
2,2,578.2,58.0, 1.8,軽欠点,-,,
3,1,439.6,62.8, 1.7,軽欠点,-,,
4,2,503.5,115.4, 1.8,軽欠点,-,,
5,1,863.1,121.4, 2.3,中欠点,-,,
6,1,820.5,122.1, 1.7,軽欠点,-,,
7,1,556.9,129.1, 2.1,中欠点,-,,
8,1,428.9,129.6, 1.9,中欠点,-,,
9,1,482.2,154.4, 2.2,中欠点,-,,
10,1,546.2,154.9, 3.0,軽欠点,-,,
11,1,471.6,157.5, 1.2,軽欠点,-,,
12,1,482.2,165.9, 4.3,重欠点,-,,
13,1,503.5,166.4, 1.4,軽欠点,-,,
14,1,535.5,201.3, 2.2,中欠点,-,,
15,2,535.5,201.7, 3.3,重欠点,-,,
16,3,439.6,202.2, 4.3,重欠点,-,,
17,3,535.5,202.7, 2.8,軽欠点,-,,
18,1,492.9,250.5, 1.2,軽欠点,-,,
19,2,482.2,251.0, 4.5,中欠点,-,,
20,3,567.5,251.5, 4.6,中欠点,-,,
21,1,567.5,252.2, 4.9,重欠点,-,,
22,2,567.5,252.4, 5.6,中欠点,-,,
23,2,546.2,253.1, 1.6,軽欠点,-,,
24,1,524.9,253.6, 2.0,中欠点,-,,
25,2,567.5,254.1, 1.7,軽欠点,-,,
26,1,471.6,272.0, 1.1,軽欠点,-,,
27,1,535.5,284.0, 1.2,軽欠点,-,,
28,2,535.5,284.5, 3.1,中欠点,-,,
29,1,556.9,284.9, 1.6,軽欠点,-,,
30,2,556.9,307.4, 1.4,軽欠点,-,,
31,1,546.2,307.9, 2.4,中欠点,-,,
32,1,546.2,308.4, 3.2,軽欠点,-,,
33,1,460.9,340.0, 2.1,軽欠点,-,,
34,1,439.6,357.2, 2.9,軽欠点,-,,
35,2,546.2,357.9, 1.3,軽欠点,-,,
36,2,546.2,358.4, 2.1,軽欠点,-,,
37,2,546.2,358.9, 3.3,中欠点,-,,
38,2,482.2,363.7, 1.4,軽欠点,-,,
39,1,556.9,455.8, 1.1,軽欠点,-,,
40,1,439.6,498.9, 1.2,軽欠点,-,,
41,1,841.8,625.3, 2.1,軽欠点,-,,
42,1,546.2,791.6, 1.5,軽欠点,-,,
43,1,895.1,1079.8, 1.8,軽欠点,-,,
44,1,503.5,1179.1, 1.4,軽欠点,-,,
45,1,556.9,1301.6, 1.2,軽欠点,-,,
46,1,546.2,1302.1, 1.6,中欠点,-,,
47,1,546.2,1302.6, 3.4,中欠点,-,,
48,1,863.1,1446.2, 1.8,中欠点,-,,
49,1,905.8,1536.9, 4.0,中欠点,-,,
50,1,895.1,1537.4, 1.2,軽欠点,-,,
51,1,567.5,1863.6, 1.5,軽欠点,-,,
52,1,460.9,1963.7, 1.6,軽欠点,-,,
53,1,482.2,1964.1, 1.5,軽欠点,-,,
54,1,460.9,1964.6, 1.9,軽欠点,-,,
55,1,556.9,2040.7, 2.2,軽欠点,-,,
56,1,439.6,2041.2, 2.6,中欠点,-,,
57,1,418.2,2041.7, 1.7,軽欠点,-,,
58,2,439.6,2042.2, 1.1,軽欠点,-,,
59,1,588.9,2352.3, 1.2,軽欠点,-,,
60,1,428.9,2352.8, 2.1,軽欠点,-,,
61,1,450.2,2365.3, 1.6,軽欠点,-,,
62,1,482.2,2407.9, 1.5,軽欠点,-,,
63,1,884.5,2421.1, 1.9,軽欠点,-,,
64,1,905.8,2446.9, 1.2,軽欠点,-,,
65,1,895.1,2447.4, 1.5,軽欠点,-,,
66,1,916.4,2447.9, 1.8,軽欠点,-,,
67,1,895.1,2448.3, 2.2,中欠点,-,,
68,1,556.9,2517.5, 1.9,軽欠点,-,,
69,1,556.9,2518.0, 1.5,軽欠点,-,,
70,2,418.2,2540.5, 1.5,中欠点,-,,
71,1,482.2,2540.9, 1.7,軽欠点,-,,
72,1,428.9,2541.4, 1.7,軽欠点,-,,
73,1,514.2,2641.0, 1.5,中欠点,-,,
74,2,546.2,2641.5, 5.5,重欠点,-,,
75,1,546.2,2641.9, 1.6,軽欠点,-,,
76,1,546.2,2642.4, 1.2,軽欠点,-,,
77,1,546.2,2661.1, 2.1,軽欠点,-,,
78,1,567.5,2726.0, 1.9,軽欠点,-,,
79,1,546.2,2726.4, 2.4,中欠点,-,,
80,1,439.6,2788.7, 1.6,軽欠点,-,,
81,1,546.2,2823.4, 3.1,軽欠点,-,,
82,1,514.2,2851.1, 2.5,中欠点,-,,
83,1,556.9,2851.6, 1.5,軽欠点,-,,
84,1,588.9,2852.3, 2.0,軽欠点,-,,
85,1,588.9,2852.8, 2.0,軽欠点,-,,
86,1,535.5,2895.2, 1.1,軽欠点,-,,
87,1,556.9,2895.7, 1.9,軽欠点,-,,
88,1,556.9,2896.1, 3.4,軽欠点,-,,
89,1,578.2,2896.6, 1.5,軽欠点,-,,
90,1,567.5,2975.1, 1.7,軽欠点,-,,
91,1,567.5,2975.6, 2.5,中欠点,-,,
92,1,567.5,2976.1, 5.0,重欠点,-,,
93,2,535.5,2976.6, 5.4,重欠点,-,,
94,1,578.2,3003.4, 1.6,軽欠点,-,,
95,1,567.5,3003.8, 4.1,中欠点,-,,
96,1,567.5,3004.3, 3.1,中欠点,-,,
97,1,524.9,3004.8, 6.8,重欠点,-,,
98,1,471.6,3036.9, 3.2,中欠点,-,,
99,2,471.6,3037.3, 2.4,重欠点,-,,
100,1,482.2,3037.8, 3.8,重欠点,-,,
101,2,482.2,3038.3, 3.1,重欠点,-,,
102,1,873.8,3052.7, 1.9,軽欠点,-,,
103,1,546.2,3058.9, 2.6,軽欠点,-,,
104,1,588.9,3059.6, 1.2,軽欠点,-,,
105,1,578.2,3060.1, 1.3,軽欠点,-,,
106,1,514.2,3080.9, 1.9,軽欠点,-,,
107,1,514.2,3081.4, 1.3,軽欠点,-,,
108,1,556.9,3189.1, 1.2,軽欠点,-,,
109,1,396.9,3222.1, 1.2,軽欠点,-,,
110,2,567.5,3222.6, 2.4,軽欠点,-,,
111,1,588.9,3223.3, 2.5,軽欠点,-,,
112,1,578.2,3223.8, 3.6,中欠点,-,,
113,1,450.2,3385.8, 1.7,軽欠点,-,,
114,1,482.2,3469.1, 1.4,軽欠点,-,,
115,1,873.8,3528.7, 1.3,軽欠点,-,,
116,2,567.5,3575.4, 2.3,中欠点,-,,
117,1,492.9,3575.9, 1.4,軽欠点,-,,
118,1,556.9,3576.3, 2.5,軽欠点,-,,
119,1,588.9,3576.8, 2.2,軽欠点,-,,
120,1,546.2,3632.4, 1.6,軽欠点,-,,
121,1,556.9,3632.8, 3.6,重欠点,-,,
122,1,535.5,3633.3, 1.4,軽欠点,-,,
123,1,535.5,3633.8, 3.1,重欠点,-,,
124,1,588.9,3643.4, 1.9,軽欠点,-,,
125,1,524.9,3643.8, 3.0,重欠点,-,,
126,1,524.9,3644.3, 4.2,重欠点,-,,
127,2,439.6,3644.8, 4.8,重欠点,-,,
128,5,745.8,3667.3, 3.0,重欠点,-,,
129,1,535.5,3681.4, 2.6,軽欠点,-,,
130,2,535.5,3681.9, 1.8,軽欠点,-,,
131,2,535.5,3682.4, 1.2,軽欠点,-,,
132,2,524.9,3682.8, 3.1,重欠点,-,,
133,1,631.5,3902.4, 1.1,軽欠点,-,,
134,5,343.6,4017.2, 1.2,軽欠点,-,,
135,5,364.9,4017.7, 3.4,重欠点,-,,
136,5,354.3,4018.1, 3.9,重欠点,-,,
137,5,354.3,4018.6, 1.2,軽欠点,-,,
138,1,916.4,4020.8, 1.6,軽欠点,-,,
139,1,916.4,4021.3, 3.2,中欠点,-,,
140,5,1033.8,4021.5, 1.7,中欠点,-,,
141,5,1023.1,4022.0, 3.8,重欠点,-,,
142,5,311.6,4026.5, 2.0,重欠点,-,,
143,5,407.6,4026.8, 2.9,中欠点,-,,
144,5,407.6,4027.2, 2.8,中欠点,-,,
145,2,895.1,4027.9, 1.4,軽欠点,-,,
146,5,820.5,4028.2, 1.8,軽欠点,-,,
147,5,450.2,4029.0, 1.9,軽欠点,-,,
148,1,556.9,4030.4, 3.4,重欠点,-,,
見当誤差件数,7
No.,ユニット,発生［m],終了［m],距離［m]
1,1,   78.3,   78.7,    0.5
2,1,  136.7,  137.1,    0.5
3,1,  247.1,  247.6,    0.5
4,1,  381.5,  383.9,    2.4
5,1,  393.0,  394.9,    1.9
6,1,  402.1,  406.9,    4.8
7,1, 4069.8, 4076.0,    6.2
日付,時刻,Y[m],操作,パラメータ1,パラメータ2,パラメータ3,パラメータ4,パラメータ5,パラメータ6,パラメータ7,パラメータ8
2018/09/07,15:04:45,    0.3,検査開始,
2018/09/07,15:04:48,    8.4,検査範囲 変更,255.9,1084.5,480.0,0,2
2018/09/07,15:06:50,  306.9,検査レベル設定 変更,19,1.5,26,1.5,45,5.7
2018/09/07,15:06:51,  310.3,検査レベル設定 変更,19,1.5,26,1.5,50,5.7
2018/09/07,15:06:52,  312.7,検査レベル設定 変更,19,1.5,26,1.7,50,5.7
2018/09/07,15:06:53,  314.1,検査レベル設定 変更,19,1.5,30,1.7,50,5.7
2018/09/07,15:06:53,  316.5,検査レベル設定 変更,19,1.7,30,1.7,50,5.7
2018/09/07,15:06:54,  317.5,検査レベル設定 変更,23,1.7,30,1.7,50,5.7
2018/09/07,15:07:09,  369.1,検査レベル設定 変更,23,1.7,30,1.7,50,4.0
2018/09/07,15:07:11,  373.5,検査レベル設定 変更,23,1.7,30,1.7,45,4.0
2018/09/07,15:07:11,  376.8,検査レベル設定 変更,23,1.7,30,1.5,45,4.0
2018/09/07,15:07:12,  377.3,検査レベル設定 変更,23,1.7,26,1.5,45,4.0
2018/09/07,15:07:13,  380.2,検査レベル設定 変更,23,1.5,26,1.5,45,4.0
2018/09/07,15:07:14,  385.9,検査レベル設定 変更,19,1.5,26,1.5,45,4.0
2018/09/07,15:25:33, 4034.9,検査中断,
