検査日,2018/10/17
開始時刻,18:12:55,終了時刻,18:34:10
IDNo.,8
製品名,マツオ食品　新名水２００ｇ
コード,710545
検査レベル,普通
材質,表刷り
特徴,
印刷面,
周長,
基準方向,
タイミング,
自動印刷,
ロットNo.,__A
検査幅[mm],1259.4
検査開始位置[mm],43.7,検査終了位置[mm],1303.1
列数,3
周長[mm],480.0,2逓倍,0
検査距離[m],4057.4
照明設定,No.1,ON ,65,No.2,OFF,0,No.3,ON ,28
検査レベル,点比較,色差,15,サイズ[mmsq.],1.30
,面比較,色差,22,サイズ[mmsq.],1.30
,スジ検出,色差,40,サイズ[mmsq.],2.60
印刷面,表刷り
Ref画像更新モード,ﾌﾚｰﾑ毎更新
タイミング設定,見当誤差検出設定 変更
欠点検出数,45
No.,周期内欠点数,X[mm],Y[m],サイズ[mmsq.],ランク,判定,欠点種別,ラベル
1,1,238.3,1545.7, 1.1,軽欠点,-,,
2,1,238.3,1866.4, 6.6,スジ欠点,-,,
3,1,238.3,2501.7, 1.1,軽欠点,-,,
4,1,238.3,2610.7, 9.2,スジ欠点,-,,
5,5,664.8,4020.3, 5.4,重欠点,-,,
6,5,408.9,4020.8, 8.5,重欠点,-,,
7,5,1044.4,4021.3, 6.1,重欠点,-,,
8,5,831.1,4021.7, 4.2,重欠点,-,,
9,5,419.6,4024.1, 4.0,重欠点,-,,
10,5,440.9,4024.6, 8.6,重欠点,-,,
11,5,547.5,4025.1,10.1,重欠点,-,,
12,5,408.9,4025.5,11.3,重欠点,-,,
13,5,408.9,4026.0, 4.3,重欠点,-,,
14,5,408.9,4026.5, 4.8,重欠点,-,,
15,5,334.3,4027.0, 4.9,重欠点,-,,
16,5,121.0,4027.4, 4.9,重欠点,-,,
17,5,206.3,4027.9, 2.9,重欠点,-,,
18,5,206.3,4028.4, 4.3,重欠点,-,,
19,5,174.3,4028.9, 5.9,重欠点,-,,
20,5,174.3,4029.4, 6.9,重欠点,-,,
21,5,419.6,4029.8, 5.3,重欠点,-,,
22,5,451.6,4030.3, 7.3,重欠点,-,,
23,5,110.3,4030.8, 8.2,重欠点,-,,
24,5,89.0,4031.3, 9.9,重欠点,-,,
25,5,472.9,4031.7, 6.8,重欠点,-,,
26,5,472.9,4032.2, 8.3,重欠点,-,,
27,5,472.9,4032.7, 6.5,重欠点,-,,
28,5,472.9,4033.2, 8.2,重欠点,-,,
29,5,472.9,4033.6, 6.2,重欠点,-,,
30,5,472.9,4034.1, 4.7,重欠点,-,,
31,5,238.3,4034.6, 4.7,重欠点,-,,
32,5,291.6,4035.0, 4.7,重欠点,-,,
33,5,664.8,4035.5, 8.2,重欠点,-,,
34,5,664.8,4036.0, 9.0,重欠点,-,,
35,5,703.2,4036.5, 4.5,重欠点,-,,
36,5,703.2,4037.0, 4.5,重欠点,-,,
37,5,1033.8,4037.9, 3.2,重欠点,-,,
38,5,799.1,4038.4, 3.6,重欠点,-,,
39,5,78.3,4038.9, 3.6,重欠点,-,,
40,5,78.3,4039.4, 4.6,重欠点,-,,
41,5,387.6,4039.8, 5.9,重欠点,-,,
42,5,78.3,4040.3,10.8,重欠点,-,,
43,5,884.5,4040.8, 7.1,重欠点,-,,
44,5,863.1,4041.3, 6.2,重欠点,-,,
45,5,472.9,4041.8, 4.0,重欠点,-,,
見当誤差件数,2
No.,ユニット,発生［m],終了［m],距離［m]
1,1, 4078.6, 4104.9,   26.2
2,2, 4073.8, 4097.2,   23.4
日付,時刻,Y[m],操作,パラメータ1,パラメータ2,パラメータ3,パラメータ4,パラメータ5,パラメータ6,パラメータ7,パラメータ8
2018/10/17,18:12:55,    0.4,検査開始,
2018/10/17,18:34:10, 4041.7,検査中断,
