検査日,2019/03/13
開始時刻,9:16:58,終了時刻,10:08:04
IDNo.,8
製品名,マツオ食品　新名水２００ｇ
コード,710545
検査レベル,普通
材質,表刷り
特徴,
印刷面,
周長,
基準方向,
タイミング,
自動印刷,
ロットNo.,__A
検査幅[mm],956.6
検査開始位置[mm],194.1,検査終了位置[mm],1150.7
列数,2
周長[mm],600.0,2逓倍,0
検査距離[m],4573.9
照明設定,No.1,ON ,55,No.2,OFF,0,No.3,ON ,28
検査レベル,点比較,色差,19,サイズ[mmsq.],1.50
,面比較,色差,26,サイズ[mmsq.],1.50
,スジ検出,色差,45,サイズ[mmsq.],4.00
印刷面,表刷り
Ref画像更新モード,ﾌﾚｰﾑ毎更新
タイミング設定,内部
欠点検出数,46
No.,周期内欠点数,X[mm],Y[m],サイズ[mmsq.],ランク,判定,欠点種別,ラベル
1,5,1087.1,4326.2, 1.1,軽欠点,-,,
2,5,271.6,4326.8, 2.0,重欠点,-,,
3,5,1087.1,4327.4, 2.6,重欠点,-,,
4,5,1108.4,4328.0, 2.1,重欠点,-,,
5,5,799.1,4328.6, 1.7,中欠点,-,,
6,5,777.8,4329.2, 2.1,重欠点,-,,
7,5,767.1,4329.8, 2.3,重欠点,-,,
8,5,756.5,4330.4, 2.1,重欠点,-,,
9,5,1108.4,4331.0, 1.6,中欠点,-,,
10,5,1097.7,4331.6, 2.1,重欠点,-,,
11,5,1076.4,4332.2, 2.6,重欠点,-,,
12,5,1108.4,4332.8, 2.3,重欠点,-,,
13,5,905.8,4334.0, 2.2,中欠点,-,,
14,5,1097.7,4334.6, 2.0,重欠点,-,,
15,5,1119.1,4335.2, 2.2,重欠点,-,,
16,5,1087.1,4335.8, 2.7,重欠点,-,,
17,5,799.1,4336.4, 2.4,重欠点,-,,
18,5,1076.4,4337.0, 2.3,重欠点,-,,
19,5,1076.4,4337.6, 2.2,重欠点,-,,
20,5,1076.4,4338.2, 3.0,重欠点,-,,
21,5,292.9,4338.8, 1.7,中欠点,-,,
22,5,745.8,4339.4, 3.2,重欠点,-,,
23,5,745.8,4340.0, 4.3,重欠点,-,,
24,5,745.8,4340.6, 3.6,重欠点,-,,
25,5,1097.7,4341.8, 1.9,中欠点,-,,
26,5,788.5,4342.4, 4.2,重欠点,-,,
27,5,314.3,4343.0, 3.1,重欠点,-,,
28,5,948.4,4344.8, 3.5,重欠点,-,,
29,5,484.9,4346.0, 1.6,軽欠点,-,,
30,5,484.9,4359.7, 2.2,重欠点,-,,
31,5,484.9,4360.3, 3.1,重欠点,-,,
32,5,474.2,4360.9, 3.8,重欠点,-,,
33,5,324.9,4361.5, 4.1,重欠点,-,,
34,5,745.8,4362.1, 3.3,重欠点,-,,
35,1,655.5,4547.2, 1.4,軽欠点,-,,
36,5,612.9,4547.4, 1.2,軽欠点,-,,
37,5,292.9,4548.0, 1.9,重欠点,-,,
38,5,756.5,4548.6, 1.7,中欠点,-,,
39,5,809.8,4549.2, 2.0,重欠点,-,,
40,5,756.5,4549.8, 1.5,中欠点,-,,
41,5,756.5,4550.4, 1.9,中欠点,-,,
42,5,756.5,4551.0, 2.0,重欠点,-,,
43,5,756.5,4551.6, 2.0,重欠点,-,,
44,5,484.9,4552.2, 1.2,軽欠点,-,,
45,5,367.6,4552.8, 3.1,重欠点,-,,
46,5,367.6,4553.4, 3.7,重欠点,-,,
見当誤差件数,0
日付,時刻,Y[m],操作,パラメータ1,パラメータ2,パラメータ3,パラメータ4,パラメータ5,パラメータ6,パラメータ7,パラメータ8
2019/03/13,9:16:58,    0.0,検査開始,
2019/03/13,9:42:05, 4000.9,検査中断,
2019/03/13,9:42:37, 4063.4,検査範囲 変更,217.6,1130.4,600.0,0,2
2019/03/13,9:42:38, 4063.4,検査範囲 変更,217.6,1130.4,600.0,0,2
2019/03/13,10:06:45, 4322.5,検査範囲 変更,194.1,1150.7,600.0,0,2
2019/03/13,10:06:46, 4325.5,検査開始,
2019/03/13,10:07:56, 4558.2,検査中断,
