検査日,2018/10/06
開始時刻,13:45:39,終了時刻,14:45:11
IDNo.,8
製品名,マツオ食品　新名水２００ｇ
コード,710545
検査レベル,普通
材質,表刷り
特徴,
印刷面,
周長,
基準方向,
タイミング,
自動印刷,
ロットNo.,__A
検査幅[mm],1104.8
検査開始位置[mm],122.6,検査終了位置[mm],1227.4
列数,3
周長[mm],460.0,2逓倍,0
検査距離[m],4417.7
照明設定,No.1,ON ,65,No.2,OFF,0,No.3,ON ,28
検査レベル,点比較,色差,19,サイズ[mmsq.],1.50
,面比較,色差,26,サイズ[mmsq.],1.50
,スジ検出,色差,45,サイズ[mmsq.],4.00
印刷面,表刷り
Ref画像更新モード,ﾌﾚｰﾑ毎更新
タイミング設定,見当誤差検出設定 変更
欠点検出数,156
No.,周期内欠点数,X[mm],Y[m],サイズ[mmsq.],ランク,判定,欠点種別,ラベル
1,1,551.5,31.8, 1.3,軽欠点,-,,
2,1,274.3,294.8, 1.1,軽欠点,-,,
3,1,402.2,543.5, 1.2,軽欠点,-,,
4,1,391.6,1420.3,11.4,スジ欠点,-,,
5,2,391.6,1425.4,22.4,スジ欠点,-,,
6,2,380.9,1425.8,17.6,スジ欠点,-,,
7,1,391.6,1426.6, 8.4,スジ欠点,-,,
8,2,391.6,1453.4,22.0,スジ欠点,-,,
9,2,391.6,1453.7,10.1,スジ欠点,-,,
10,5,391.6,1454.1,27.7,スジ欠点,-,,
11,4,391.6,1454.6, 9.2,スジ欠点,-,,
12,1,391.6,1455.7,19.4,スジ欠点,-,,
13,2,391.6,1455.9,20.7,スジ欠点,-,,
14,1,391.6,1456.4,19.4,スジ欠点,-,,
15,1,380.9,1457.8,10.1,スジ欠点,-,,
16,3,380.9,1458.3, 9.2,スジ欠点,-,,
17,1,391.6,1460.3, 9.2,スジ欠点,-,,
18,2,391.6,1465.6,27.7,スジ欠点,-,,
19,2,391.6,1466.1, 7.9,スジ欠点,-,,
20,1,391.6,1466.5,11.9,スジ欠点,-,,
21,1,380.9,1475.7,10.1,スジ欠点,-,,
