検査日,2019/03/18
開始時刻,7:51:04,終了時刻,8:03:56
IDNo.,8
製品名,マツオ食品　新名水２００ｇ
コード,710545
検査レベル,普通
材質,表刷り
特徴,
印刷面,
周長,
基準方向,
タイミング,
自動印刷,
ロットNo.,__A
検査幅[mm],1092.0
検査開始位置[mm],129.0,検査終了位置[mm],1221.0
列数,2
周長[mm],380.0,2逓倍,1
検査距離[m],1994.6
照明設定,No.1,ON ,55,No.2,OFF,0,No.3,ON ,28
検査レベル,点比較,色差,19,サイズ[mmsq.],1.50
,面比較,色差,26,サイズ[mmsq.],1.50
,スジ検出,色差,45,サイズ[mmsq.],4.00
印刷面,表刷り
Ref画像更新モード,ﾌﾚｰﾑ毎更新
タイミング設定,内部
欠点検出数,50
No.,周期内欠点数,X[mm],Y[m],サイズ[mmsq.],ランク,判定,欠点種別,ラベル
1,5,980.4, 1.3, 6.6,重欠点,-,,
2,5,980.4, 2.0, 3.1,重欠点,-,,
3,5,980.4, 2.8, 4.4,重欠点,-,,
4,5,980.4, 3.6, 6.1,重欠点,-,,
5,5,980.4, 4.3, 7.8,重欠点,-,,
6,5,980.4, 5.1, 2.1,重欠点,-,,
7,5,980.4, 5.8, 2.8,重欠点,-,,
8,5,980.4, 6.6, 3.6,重欠点,-,,
9,5,980.4, 7.4, 4.6,重欠点,-,,
10,5,980.4, 8.1, 2.9,重欠点,-,,
11,5,980.4, 8.8, 3.7,重欠点,-,,
12,5,980.4, 9.6, 4.3,重欠点,-,,
13,5,980.4,10.4, 6.7,重欠点,-,,
14,5,980.4,11.1, 2.6,重欠点,-,,
15,5,980.4,11.9, 5.0,重欠点,-,,
16,5,980.4,12.6, 6.5,重欠点,-,,
17,5,980.4,13.4, 8.1,重欠点,-,,
18,5,980.4,14.2, 3.1,重欠点,-,,
19,5,980.4,14.9, 2.6,重欠点,-,,
20,5,980.4,15.7, 4.1,重欠点,-,,
21,5,969.8,16.4, 5.5,重欠点,-,,
22,5,980.4,17.2, 2.4,重欠点,-,,
23,5,980.4,17.9, 4.2,重欠点,-,,
24,5,980.4,18.7, 6.5,重欠点,-,,
25,5,980.4,19.5, 3.4,重欠点,-,,
26,5,980.4,20.2, 3.0,重欠点,-,,
27,5,980.4,21.0, 5.1,重欠点,-,,
28,5,980.4,21.7, 6.9,重欠点,-,,
29,5,980.4,22.5, 8.7,重欠点,-,,
30,5,980.4,23.3, 2.1,重欠点,-,,
31,5,980.4,24.0, 4.2,重欠点,-,,
32,5,969.8,24.8, 5.6,重欠点,-,,
33,5,980.4,25.5, 2.6,重欠点,-,,
34,5,980.4,26.3, 3.2,重欠点,-,,
35,5,980.4,27.0, 5.9,重欠点,-,,
36,5,980.4,27.8, 3.3,重欠点,-,,
37,5,980.4,28.6, 5.5,重欠点,-,,
38,5,980.4,29.3, 2.9,重欠点,-,,
39,5,980.4,30.8, 2.7,重欠点,-,,
40,5,980.4,31.6, 3.0,重欠点,-,,
41,5,980.4,32.4, 4.2,重欠点,-,,
42,5,980.4,33.1, 5.6,重欠点,-,,
43,5,980.4,33.8, 2.9,重欠点,-,,
44,5,980.4,39.2, 2.4,重欠点,-,,
45,1,895.1,558.4, 1.2,軽欠点,-,,
46,1,767.1,1782.5, 1.6,軽欠点,-,,
47,5,1236.4,1969.5,16.2,重欠点,-,,
48,5,387.6,1969.9, 1.9,中欠点,-,,
49,5,745.8,1970.7, 2.0,重欠点,-,,
50,5,745.8,1971.4, 2.2,重欠点,-,,
見当誤差件数,0
日付,時刻,Y[m],操作,パラメータ1,パラメータ2,パラメータ3,パラメータ4,パラメータ5,パラメータ6,パラメータ7,パラメータ8
2019/03/18,7:51:04,    0.3,検査開始,
2019/03/18,8:03:52, 1978.9,検査中断,
