検査日,2018/12/06
開始時刻,9:13:28,終了時刻,10:01:19
IDNo.,8
製品名,マツオ食品　新名水２００ｇ
コード,710545
検査レベル,普通
材質,表刷り
特徴,
印刷面,
周長,
基準方向,
タイミング,
自動印刷,
ロットNo.,__A
検査幅[mm],650.5
検査開始位置[mm],350.9,検査終了位置[mm],1001.4
列数,2
周長[mm],540.0,2逓倍,0
検査距離[m],4388.7
照明設定,No.1,ON ,65,No.2,OFF,0,No.3,ON ,28
検査レベル,点比較,色差,19,サイズ[mmsq.],1.50
,面比較,色差,26,サイズ[mmsq.],1.50
,スジ検出,色差,45,サイズ[mmsq.],4.00
印刷面,表刷り
Ref画像更新モード,ﾌﾚｰﾑ毎更新
タイミング設定,見当誤差検出設定 変更
欠点検出数,44
No.,周期内欠点数,X[mm],Y[m],サイズ[mmsq.],ランク,判定,欠点種別,ラベル
1,5,578.2, 6.2, 1.6,中欠点,-,,
2,5,1012.4, 6.7, 2.1,重欠点,-,,
3,5,1012.4, 7.2, 2.1,重欠点,-,,
4,5,1012.4, 7.8, 2.1,重欠点,-,,
5,1,905.8,1134.7, 1.3,軽欠点,-,,
6,5,556.9,1765.4,14.8,重欠点,-,,
7,2,503.5,2280.1, 1.3,軽欠点,-,,
8,1,631.5,2372.5, 1.2,軽欠点,-,,
9,1,713.8,3530.6, 1.3,軽欠点,-,,
10,5,831.1,3708.8, 6.7,重欠点,-,,
11,1,620.9,3723.2, 1.9,重欠点,-,,
12,1,703.2,3940.2, 1.3,軽欠点,-,,
13,5,1012.4,3992.6, 3.9,重欠点,-,,
14,5,1012.4,3993.2, 4.6,重欠点,-,,
15,5,1012.4,3993.7, 4.6,重欠点,-,,
16,5,1012.4,3994.3, 4.6,重欠点,-,,
17,5,831.1,3994.8, 2.2,重欠点,-,,
18,5,831.1,3995.4, 3.9,重欠点,-,,
19,5,820.5,3995.9, 5.1,重欠点,-,,
20,5,820.5,3996.4, 6.2,重欠点,-,,
21,5,831.1,3997.0, 3.6,重欠点,-,,
22,5,831.1,3997.5, 4.2,重欠点,-,,
23,5,735.2,3998.1, 5.0,重欠点,-,,
24,5,735.2,3998.6, 5.0,重欠点,-,,
25,5,831.1,3999.2, 2.8,重欠点,-,,
26,5,831.1,4211.9, 2.3,重欠点,-,,
27,5,820.5,4212.5, 2.8,重欠点,-,,
28,5,820.5,4213.0, 2.6,重欠点,-,,
29,5,820.5,4213.6, 5.7,重欠点,-,,
30,5,514.2,4214.1, 5.1,重欠点,-,,
31,5,841.8,4214.7, 6.6,重欠点,-,,
32,5,841.8,4215.2, 8.2,重欠点,-,,
33,5,841.8,4215.7, 9.4,重欠点,-,,
34,5,852.5,4216.3, 3.4,重欠点,-,,
35,5,852.5,4216.8, 5.9,重欠点,-,,
36,5,852.5,4217.4, 7.2,重欠点,-,,
37,5,852.5,4217.9, 8.1,重欠点,-,,
38,5,852.5,4360.7, 1.6,軽欠点,-,,
39,5,852.5,4361.1, 2.4,重欠点,-,,
40,5,567.5,4361.6, 3.7,重欠点,-,,
41,5,841.8,4362.2, 3.4,重欠点,-,,
42,5,1001.8,4364.7, 4.6,重欠点,-,,
43,5,428.9,4364.9, 1.1,軽欠点,-,,
44,5,428.9,4365.4, 1.2,軽欠点,-,,
見当誤差件数,6
No.,ユニット,発生［m],終了［m],距離［m]
1,5, 1687.3, 1687.8,    0.5
2,1, 4059.3, 4065.3,    6.0
3,1, 4283.5, 4291.1,    7.6
4,1, 4293.2, 4295.4,    2.2
5,1, 4405.1, 4407.8,    2.7
6,1, 4409.4, 4415.9,    6.5
日付,時刻,Y[m],操作,パラメータ1,パラメータ2,パラメータ3,パラメータ4,パラメータ5,パラメータ6,パラメータ7,パラメータ8
2018/12/06,9:13:28,    0.2,検査開始,
2018/12/06,9:38:24, 3999.1,検査中断,
2018/12/06,10:00:08, 4200.0,検査開始,
2018/12/06,10:01:13, 4373.0,検査中断,
