検査日,2019/02/22
開始時刻,7:56:37,終了時刻,9:21:04
IDNo.,8
製品名,マツオ食品　新名水２００ｇ
コード,710545
検査レベル,普通
材質,表刷り
特徴,
印刷面,
周長,
基準方向,
タイミング,
自動印刷,
ロットNo.,__A
検査幅[mm],1174.1
検査開始位置[mm],86.4,検査終了位置[mm],1260.5
列数,2
周長[mm],640.0,2逓倍,0
検査距離[m],8493.1
照明設定,No.1,ON ,55,No.2,OFF,0,No.3,ON ,28
検査レベル,点比較,色差,19,サイズ[mmsq.],1.50
,面比較,色差,26,サイズ[mmsq.],1.50
,スジ検出,色差,45,サイズ[mmsq.],4.00
印刷面,表刷り
Ref画像更新モード,ﾌﾚｰﾑ毎更新
タイミング設定,内部
欠点検出数,106
No.,周期内欠点数,X[mm],Y[m],サイズ[mmsq.],ランク,判定,欠点種別,ラベル
1,5,163.6,268.7, 3.1,重欠点,-,,
2,5,526.2,269.2, 3.3,重欠点,-,,
3,5,526.2,269.7, 2.8,重欠点,-,,
4,5,483.6,270.2, 3.6,重欠点,-,,
5,5,494.2,272.9, 1.3,軽欠点,-,,
6,5,526.2,273.5, 3.0,重欠点,-,,
7,5,483.6,274.0, 3.4,重欠点,-,,
8,5,483.6,274.6, 3.5,重欠点,-,,
9,5,1225.7,282.1, 3.9,重欠点,-,,
10,5,526.2,282.7, 1.6,中欠点,-,,
11,5,526.2,283.2, 2.1,重欠点,-,,
12,5,526.2,283.7, 1.7,中欠点,-,,
13,5,1215.0,285.9, 3.7,重欠点,-,,
14,5,1215.0,286.4, 6.4,重欠点,-,,
15,5,1215.0,287.0, 7.8,重欠点,-,,
16,5,1215.0,287.5, 8.6,重欠点,-,,
17,2,1225.7,288.1, 2.1,軽欠点,-,,
18,5,1215.0,288.6, 6.7,重欠点,-,,
19,5,1215.0,289.1, 6.9,重欠点,-,,
20,5,1215.0,289.7, 7.0,重欠点,-,,
21,5,1225.7,290.2, 1.2,軽欠点,-,,
22,5,1215.0,290.8, 4.0,重欠点,-,,
23,5,1215.0,291.3, 4.0,重欠点,-,,
24,5,1215.0,291.8, 4.0,重欠点,-,,
25,3,1044.4,292.4, 1.2,軽欠点,-,,
26,5,163.6,292.9, 4.7,重欠点,-,,
27,5,163.6,293.5, 5.9,重欠点,-,,
28,5,163.6,294.0, 6.6,重欠点,-,,
29,5,163.6,295.1, 3.0,重欠点,-,,
30,5,163.6,295.6, 3.1,重欠点,-,,
31,5,163.6,296.2, 3.6,重欠点,-,,
32,5,163.6,296.7, 3.6,重欠点,-,,
33,1,1225.7,297.9, 2.6,軽欠点,-,,
34,5,863.1,298.3, 2.7,重欠点,-,,
35,5,863.1,298.9, 3.7,重欠点,-,,
36,5,863.1,299.4, 3.8,重欠点,-,,
37,5,344.9,300.0, 3.9,重欠点,-,,
38,1,1225.7,300.6, 1.2,軽欠点,-,,
39,5,852.5,301.0, 3.0,重欠点,-,,
40,5,852.5,301.6, 3.1,重欠点,-,,
41,5,852.5,302.1, 3.7,重欠点,-,,
42,5,884.5,302.6, 2.0,重欠点,-,,
